Name,Stars,Forks,Months,TF_version,Torch_version
fo40225/tensorflow-windows-wheel,2756.0,1106.0,36.0,none,none
YunYang1994/tensorflow-yolov3,2757.0,1136.0,24.0,none,none
leriomaggio/deep-learning-keras-tensorflow,2731.0,1237.0,48.0,none,none
Conchylicultor/DeepQA,2695.0,1170.0,48.0,b'tensorflow-gpu>=1.0,none
mindsdb/mindsdb,2687.0,329.0,24.0,none,none
tensorforce/tensorforce,2680.0,459.0,36.0,none,none
ysh329/deep-learning-model-convertor,2667.0,442.0,36.0,none,none
zzw922cn/Automatic_Speech_Recognition,2662.0,541.0,48.0,b'tensorflow==1.12,none
charlesq34/pointnet,2660.0,1011.0,36.0,none,none
rasbt/deep-learning-book,2653.0,743.0,48.0,none,none
cysmith/neural-style-tf,2621.0,710.0,48.0,none,none
raghakot/keras-vis,2612.0,548.0,48.0,none,none
guillaume-chevalier/LSTM-Human-Activity-Recognition,2590.0,781.0,48.0,none,none
brightmart/albert_zh,2529.0,487.0,12.0,none,none
cloud-annotations/training,2526.0,476.0,12.0,none,none
tensorflow/rust,2487.0,210.0,48.0,none,none
jostmey/NakedTensor,2469.0,158.0,48.0,none,none
polyaxon/polyaxon,2462.0,233.0,48.0,none,none
NervanaSystems/nlp-architect,2406.0,373.0,24.0,b'tensorflow==1.15.2,ntorch==1.4.0
horance-liu/tensorflow-internals,2399.0,507.0,24.0,none,none
argman/EAST,2383.0,919.0,36.0,none,none
tensorflow/hub,2368.0,1272.0,24.0,none,none
TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,2349.0,1224.0,36.0,none,none
simoninithomas/Deep_reinforcement_learning_Course,2321.0,936.0,24.0,none,none
CreatCodeBuild/TensorFlow-and-DeepLearning-Tutorial,2309.0,637.0,48.0,none,none
tryolabs/luminoth,2302.0,402.0,36.0,none,none
smallcorgi/Faster-RCNN_TF,2272.0,1150.0,48.0,none,none
tensorlayer/srgan,2261.0,629.0,36.0,ntensorflow>=2.0.0b1,none
qubvel/segmentation_models,2260.0,540.0,24.0,none,none
bytedance/byteps,2198.0,308.0,12.0,none,none
jeffheaton/t81_558_deep_learning,2192.0,1187.0,48.0,none,none
aamini/introtodeeplearning,2169.0,1082.0,24.0,none,none
robi56/Deep-Learning-for-Recommendation-Systems,2162.0,631.0,36.0,none,none
GeorgeSeif/Semantic-Segmentation-Suite,2132.0,793.0,36.0,none,none
jolibrain/deepdetect,2104.0,508.0,60.0,none,none
samjabrahams/tensorflow-on-raspberry-pi,2088.0,507.0,48.0,none,none
tensorflow/datasets,2066.0,618.0,24.0,none,none
pannous/tensorflow-speech-recognition,2058.0,654.0,60.0,ntensorflow,none
keithito/tacotron,2051.0,737.0,36.0,n# depends on your platform. It is assumed you have already installed tensorflow.,none
junxiaosong/AlphaZero_Gomoku,2048.0,689.0,36.0,none,none
koth/kcws,2045.0,676.0,48.0,none,none
xiaofengShi/CHINESE-OCR,2034.0,759.0,24.0,none,none
lakshayg/tensorflow-build-archived,2021.0,250.0,36.0,none,none
awjuliani/DeepRL-Agents,2007.0,776.0,48.0,none,none
tensorflow/lingvo,2000.0,312.0,24.0,none,none
golbin/TensorFlow-Tutorials,1993.0,1029.0,36.0,none,none
wandb/client,1984.0,115.0,36.0,none,none
google/deepvariant,1956.0,494.0,36.0,none,none
paarthneekhara/text-to-image,1947.0,359.0,48.0,ntensorflow==0.11.0rc0,none
asyml/texar,1933.0,309.0,36.0,"ntensorflow-probability >= 0.3.0, < 0.8.0",none
explosion/thinc,1928.0,180.0,72.0,none,none
Honlan/DeepInterests,1870.0,377.0,24.0,none,none
minimaxir/gpt-2-simple,1851.0,359.0,12.0,b'tensorflow==1.15.2,none
idealo/image-super-resolution,1828.0,346.0,24.0,none,none
SummitKwan/transparent_latent_gan,1824.0,338.0,24.0,ntensorflow-gpu>=1.10.0,none
autorope/donkeycar,1816.0,949.0,48.0,none,none
tobegit3hub/tensorflow_template_application,1805.0,725.0,48.0,b'tensorflow>=1.0.0,none
JiahuiYu/generative_inpainting,1790.0,491.0,24.0,none,none
Determined22/zh-NER-TF,1787.0,820.0,36.0,none,none
suragnair/alpha-zero-general,1782.0,518.0,36.0,none,none
mars-project/mars,1777.0,197.0,24.0,none,none
MrNothing/AI-Blocks,1762.0,228.0,36.0,none,none
guillaumegenthial/sequence_tagging,1738.0,663.0,36.0,b'tensorflow>=1.0,none
NervanaSystems/coach,1723.0,346.0,36.0,none,none
Roujack/mathAI,1713.0,448.0,24.0,none,none
microsoft/pai,1708.0,403.0,36.0,none,none
Kyubyong/tacotron,1665.0,414.0,36.0,none,none
kaonashi-tyc/zi2zi,1653.0,365.0,36.0,none,none
minimaxir/automl-gs,1645.0,152.0,12.0,none,none
Qihoo360/XLearning,1628.0,367.0,36.0,none,none
tomlepaine/fast-wavenet,1621.0,295.0,48.0,none,none
microsoft/AutonomousDrivingCookbook,1621.0,422.0,36.0,none,none
deeplearningturkiye/turkce-yapay-zeka-kaynaklari,1609.0,323.0,36.0,none,none
Zeta36/chess-alpha-zero,1604.0,393.0,36.0,b'tensorflow-gpu,none
jakeret/tf_unet,1593.0,732.0,48.0,ntensorflow>=1.0.0,none
fendouai/Awesome-Chatbot,1570.0,359.0,36.0,none,none
Rayhane-mamah/Tacotron-2,1569.0,681.0,36.0,none,none
ndrplz/self-driving-car,1564.0,937.0,48.0,none,none
tangyudi/Ai-Learn,1546.0,441.0,0.0,none,none
zzh8829/yolov3-tf2,1532.0,542.0,12.0,b'tensorflow==2.1.0rc1,none
nickliqian/cnn_captcha,1512.0,487.0,24.0,ntensorflow==1.7.0,none
carpedm20/deep-rl-tensorflow,1503.0,399.0,48.0,none,none
philipperemy/tensorflow-1.4-billion-password-analysis,1493.0,333.0,36.0,ntensorflow,none
osmr/imgclsmob,1491.0,286.0,24.0,ntensorflow_addons,ntorchvision>=0.2.1
dipanjanS/practical-machine-learning-with-python,1487.0,1223.0,36.0,none,none
ChenglongChen/tensorflow-DeepFM,1483.0,663.0,36.0,none,none
bethgelab/foolbox,1462.0,267.0,36.0,none,none
pkmital/CADL,1460.0,765.0,48.0,ntensorflow==1.5.0,none
TIBCOSoftware/flogo,1450.0,204.0,48.0,none,none
ClimbsRocks/auto_ml,1448.0,281.0,48.0,none,none
kevinhughes27/TensorKart,1446.0,242.0,48.0,ntensorflow-gpu==1.0.1,none
DT42/BerryNet,1444.0,218.0,36.0,none,none
Zehaos/MobileNet,1441.0,451.0,36.0,none,none
astorfi/lip-reading-deeplearning,1441.0,246.0,36.0,none,none
Franck-Dernoncourt/NeuroNER,1439.0,440.0,36.0,n# tensorflow-gpu==1.1.0',none
ahangchen/GDLnotes,1432.0,508.0,48.0,none,none
zhedongzheng/tensorflow-nlp,1427.0,428.0,36.0,none,none
SeldonIO/seldon-server,1417.0,298.0,60.0,none,none
Arturus/kaggle-web-traffic,1415.0,590.0,36.0,ntensorflow-gpu>=1.10,none
krishnakumarsekar/awesome-quantum-machine-learning,1413.0,421.0,36.0,none,none
PetarV-/GAT,1406.0,360.0,24.0,none,none
Labelbox/labelbox,1403.0,218.0,24.0,none,none
amir-abdi/keras_to_tensorflow,1402.0,461.0,36.0,ntensorflow,none
tensorflow/agents,1396.0,331.0,24.0,none,none
keras-team/keras-contrib,1388.0,576.0,36.0,none,none
galeone/tfgo,1366.0,106.0,36.0,none,none
allenai/bi-att-flow,1366.0,643.0,48.0,b'tensorflow>=0.11,none
tjwei/GANotebooks,1348.0,354.0,48.0,none,none
adblockradio/adblockradio,1341.0,41.0,24.0,none,none
MindorksOpenSource/AndroidTensorFlowMachineLearningExample,1331.0,418.0,36.0,none,none
guillaume-chevalier/Awesome-Deep-Learning-Resources,1311.0,254.0,48.0,none,none
bangoc123/learn-machine-learning-in-two-months,1299.0,390.0,24.0,none,none
cs230-stanford/cs230-code-examples,1299.0,553.0,24.0,none,none
lexfridman/deeptraffic,1292.0,194.0,24.0,none,none
SciSharp/TensorFlow.NET,1271.0,250.0,24.0,none,none
hunkim/word-rnn-tensorflow,1266.0,501.0,48.0,none,none
bamos/dcgan-completion.tensorflow,1251.0,382.0,48.0,none,none
autonomio/talos,1247.0,205.0,24.0,none,none
NervanaSystems/ngraph,1247.0,211.0,36.0,none,none
xiaohu2015/DeepLearning_tutorials,1238.0,639.0,48.0,none,none
victordibia/handtracking,1234.0,377.0,36.0,none,none
wizyoung/YOLOv3_TensorFlow,1233.0,509.0,12.0,none,none
NVIDIA/OpenSeq2Seq,1227.0,300.0,36.0,none,none
JohnSnowLabs/spark-nlp,1228.0,280.0,36.0,none,none
GPflow/GPflow,1224.0,366.0,48.0,none,none
CQFIO/PhotographicImageSynthesis,1221.0,222.0,36.0,none,none
OsciiArt/DeepAA,1216.0,91.0,36.0,none,none
didi/delta,1213.0,243.0,12.0,none,none
devzwy/open_nsfw_android,1206.0,223.0,12.0,none,none
fendouai/Awesome-TensorFlow-Chinese,1203.0,314.0,36.0,none,none
ml-tooling/ml-workspace,1188.0,140.0,12.0,none,none
NifTK/NiftyNet,1183.0,370.0,36.0,ntensorflow==1.15.*,none
shekkizh/FCN.tensorflow,1179.0,528.0,48.0,none,none
changwookjun/StudyBook,1177.0,731.0,24.0,none,none
lukalabs/cakechat,1172.0,294.0,24.0,b'# tensorflow and horovod should be presented in a base docker image or installed manually (see requirements-local.txt),none
google-research/electra,1169.0,151.0,0.0,none,none
google-research/uda,1166.0,187.0,12.0,none,none
DrSleep/tensorflow-deeplab-resnet,1163.0,433.0,48.0,none,none
waleedka/hiddenlayer,1163.0,172.0,24.0,none,none
github/CodeSearchNet,1159.0,202.0,12.0,none,none
datitran/face2face-demo,1156.0,381.0,36.0,b'name: face2face-demo\nchannels: !!python/tuple\n- menpo\n- defaults\ndependencies:\n- bzip2=1.0.6=3\n- menpo::opencv3=3.1.0=py35_0\n- jpeg=9b=0\n- libpng=1.6.27=0\n- menpo::boost=1.59.0=py35_0\n- menpo::dlib=19.4=py35_0\n- conda-forge::tbb\n- mkl=2017.0.3=0\n- numpy=1.13.0=py35_0\n- openssl=1.0.2l=0\n- pip=9.0.1=py35_1\n- python=3.5.3=1\n- readline=6.2=2\n- setuptools=27.2.0=py35_0\n- sqlite=3.13.0=0\n- tk=8.5.18=0\n- wheel=0.29.0=py35_0\n- xz=5.2.2=1\n- zlib=1.2.8=3\n- pip:\n  - backports.weakref==1.0rc1\n  - bleach==1.5.0\n  - html5lib==0.9999999\n  - imutils==0.4.3\n  - markdown==2.6.8\n  - protobuf==3.3.0\n  - six==1.10.0\n  - tensorflow==1.2.1\n  - werkzeug==0.12.2\nprefix: /Users/datitran/anaconda/envs/face2face-demo\n\n',none
datitran/object_detector_app,1149.0,625.0,36.0,b'name: object-detection\nchannels: !!python/tuple\n- menpo\n- defaults\ndependencies:\n- cycler=0.10.0=py35_0\n- freetype=2.5.5=2\n- icu=54.1=0\n- jbig=2.1=0\n- menpo::opencv3=3.1.0=py35_0\n- jpeg=9b=0\n- libpng=1.6.27=0\n- libtiff=4.0.6=3\n- matplotlib=2.0.2=np113py35_0\n- menpo::tbb=4.3_20141023=0\n- mkl=2017.0.1=0\n- numpy=1.13.0=py35_0\n- olefile=0.44=py35_0\n- openssl=1.0.2l=0\n- pillow=4.1.1=py35_0\n- pip=9.0.1=py35_1\n- py=1.4.34=py35_0\n- pyparsing=2.2.0=py35_0\n- pyqt=5.6.0=py35_2\n- pytest=3.2.1=py35_0\n- python=3.5.3=1\n- python-dateutil=2.6.1=py35_0\n- pytz=2017.2=py35_0\n- qt=5.6.2=2\n- readline=6.2=2\n- setuptools=27.2.0=py35_0\n- sip=4.18=py35_0\n- six=1.10.0=py35_0\n- sqlite=3.13.0=0\n- tk=8.5.18=0\n- wheel=0.29.0=py35_0\n- xz=5.2.2=1\n- zlib=1.2.8=3\n- pip:\n  - backports.weakref==1.0rc1\n  - bleach==1.5.0\n  - html5lib==0.9999999\n  - markdown==2.2.0\n  - protobuf==3.3.0\n  - tensorflow==1.2.0\n  - werkzeug==0.12.2\n  - scipy\nprefix: /Users/datitran/anaconda/envs/object-detection\n\n',none
kerlomz/captcha_trainer,1140.0,331.0,24.0,b'tensorflow-gpu==1.14.0,none
DLTK/DLTK,1137.0,349.0,36.0,ntensorflow-gpu==1.3.0,none
uTensor/uTensor,1124.0,151.0,36.0,none,none
sergiomsilva/alpr-unconstrained,1125.0,410.0,24.0,none,none
msgi/nlp-journey,1116.0,325.0,12.0,none,none
rasbt/python-machine-learning-book-3rd-edition,1108.0,435.0,12.0,none,none
aws/sagemaker-python-sdk,1106.0,460.0,36.0,none,none
burness/tensorflow-101,1101.0,579.0,48.0,none,none
gnes-ai/gnes,1101.0,202.0,12.0,none,none
MarvinTeichmann/tensorflow-fcn,1100.0,445.0,48.0,none,none
pathak22/noreward-rl,1098.0,267.0,36.0,none,none
MaybeShewill-CV/lanenet-lane-detection,1094.0,540.0,24.0,ntensorflow_gpu==1.15.2,none
google/tf-quant-finance,1088.0,192.0,12.0,none,none
CSTR-Edinburgh/merlin,1084.0,403.0,48.0,ntensorflow>=1.2.0,none
bendangnuksung/Image-OutPainting,1070.0,219.0,24.0,ntensorflow-gpu==1.10.0,none
Cloud-CV/Fabrik,1060.0,237.0,48.0,none,none
combust/mleap,1060.0,252.0,48.0,none,none
ipazc/mtcnn,1059.0,301.0,24.0,none,none
OpenNMT/OpenNMT-tf,1055.0,304.0,36.0,none,none
HyperGAN/HyperGAN,1055.0,170.0,48.0,ntensorflow-gpu>=1.12,none
jfkirk/tensorrec,1050.0,197.0,36.0,none,none
sjvasquez/handwriting-synthesis,1037.0,193.0,24.0,ntensorflow==1.6.0,none
tensorflow/tfjs-node,1032.0,104.0,24.0,none,none
tensorflow/tfx,1026.0,292.0,12.0,none,none
huoyijie/AdvancedEAST,1021.0,342.0,24.0,none,none
Hyperparticle/one-pixel-attack-keras,1014.0,155.0,24.0,ntensorflow-gpu,none
vanhuyz/CycleGAN-TensorFlow,1002.0,414.0,36.0,none,none
src-d/hercules,994.0,88.0,48.0,none,none
carpedm20/NTM-tensorflow,993.0,217.0,60.0,none,none
idealo/image-quality-assessment,992.0,267.0,24.0,none,none
merantix/picasso,990.0,131.0,36.0,none,none
adeshpande3/Tensorflow-Programs-and-Tutorials,987.0,325.0,48.0,none,none
YunYang1994/TensorFlow2.0-Examples,977.0,419.0,12.0,none,none
gabrieleangeletti/Deep-Learning-TensorFlow,976.0,397.0,60.0,ntensorflow==0.11.0rc0,none
NLPLearn/QANet,974.0,319.0,36.0,none,none
eldar/pose-tensorflow,972.0,352.0,36.0,none,none
harvitronix/five-video-classification-methods,969.0,429.0,36.0,none,none
lgsvl/simulator,950.0,272.0,24.0,none,none
ymcui/Chinese-XLNet,948.0,179.0,12.0,none,none
taehoonlee/tensornets,926.0,182.0,36.0,none,none
ryfeus/lambda-packs,924.0,180.0,48.0,none,none
google-research/batch-ppo,921.0,144.0,36.0,none,none
EddyVerbruggen/nativescript-plugin-firebase,921.0,379.0,60.0,none,none
CLUEbenchmark/CLUE,916.0,166.0,12.0,none,none
CharlesShang/TFFRCNN,903.0,438.0,48.0,none,none
amusi/TensorFlow-From-Zero-To-One,901.0,283.0,24.0,none,none
CuriousAI/mean-teacher,899.0,229.0,36.0,none,none
google-research/morph-net,891.0,142.0,12.0,none,none
carpedm20/BEGAN-tensorflow,887.0,250.0,36.0,none,none
mind/wheels,887.0,108.0,36.0,none,none
google/gin-config,886.0,56.0,24.0,none,none
yongyehuang/Tensorflow-Tutorial,885.0,380.0,36.0,none,none
una-dinosauria/3d-pose-baseline,883.0,271.0,36.0,none,none
iro-cp/FCRN-DepthPrediction,882.0,284.0,48.0,none,none
yanshengjia/ml-road,881.0,420.0,36.0,none,none
kyzhouhzau/BERT-NER,873.0,286.0,24.0,none,none
huggingface/nlp,876.0,55.0,0.0,none,none
benedekrozemberczki/CapsGNN,863.0,156.0,12.0,none,none
MarvinTeichmann/KittiSeg,854.0,403.0,48.0,none,none
LoSealL/VideoSuperResolution,851.0,207.0,24.0,none,none
tensorflow/addons,853.0,273.0,24.0,none,none
adeshpande3/LSTM-Sentiment-Analysis,849.0,406.0,36.0,none,none
sugyan/tensorflow-mnist,845.0,378.0,60.0,ntensorflow==1.0.0,none
MaybeShewill-CV/CRNN_Tensorflow,836.0,371.0,36.0,ntensorflow_gpu==1.15.2,none
yunjey/domain-transfer-network,835.0,195.0,48.0,none,none
uber/petastorm,835.0,147.0,24.0,none,none
microsoft/EdgeML,836.0,224.0,36.0,none,none
carefree0910/MachineLearning,831.0,626.0,48.0,ntensorflow_gpu == 1.4.0,ntorch == 0.2.1+a4fc05a
dpressel/rude-carnie,829.0,323.0,48.0,none,none
arogozhnikov/einops,825.0,26.0,24.0,none,none
carpedm20/MemN2N-tensorflow,823.0,271.0,60.0,none,none
fendouai/FaceRank,822.0,204.0,36.0,none,none
yunjey/show-attend-and-tell,820.0,321.0,48.0,none,none
huawei-noah/ghostnet,820.0,138.0,12.0,none,none
roatienza/Deep-Learning-Experiments,818.0,646.0,36.0,none,none
cheungdaven/DeepRec,810.0,244.0,24.0,none,none
Separius/BERT-keras,805.0,194.0,24.0,none,none
BachiLi/redner,800.0,77.0,24.0,none,none
tensorflow/model-optimization,799.0,162.0,24.0,none,none
awslabs/djl,797.0,105.0,12.0,none,none
nilboy/tensorflow-yolo,794.0,343.0,48.0,none,none
guillaume-chevalier/seq2seq-signal-prediction,794.0,252.0,36.0,nneuraxle_tensorflow==0.1.0,none
guillaumegenthial/tf_ner,787.0,236.0,24.0,b'tensorflow>=1.9,none
danielegrattarola/spektral,783.0,100.0,12.0,none,none
omoindrot/tensorflow-triplet-loss,775.0,227.0,24.0,none,none
mystic123/tensorflow-yolo-v3,773.0,302.0,24.0,none,none
torrvision/crayon,773.0,59.0,48.0,none,none
githubharald/SimpleHTR,773.0,444.0,24.0,ntensorflow==1.12.0,none
ahmetozlu/tensorflow_object_counting_api,771.0,338.0,24.0,ntensorflow>=1.3.0,none
tensorlayer/openpose-plus,771.0,219.0,24.0,"ntensorflow>=1.14.0,<2.0.0",none
eaplatanios/tensorflow_scala,769.0,85.0,36.0,none,none
emedvedev/attention-ocr,763.0,209.0,36.0,ntensorflow>=1.2.1,none
hughperkins/tf-coriander,752.0,93.0,48.0,none,none
wagamamaz/tensorflow-tutorial,750.0,217.0,48.0,none,none
marcbelmont/cnn-watermark-removal,749.0,150.0,36.0,ntensorflow-tensorboard==0.1.5,none
buppt/ChineseNER,748.0,285.0,24.0,none,none
hizhangp/yolo_tensorflow,745.0,440.0,48.0,none,none
InFoCusp/tf_cnnvis,744.0,214.0,36.0,none,none
malmaud/TensorFlow.jl,740.0,99.0,60.0,none,none
felipessalvatore/self_driving_pi_car,736.0,65.0,24.0,ntensorflow==1.2.1,none
carpedm20/lstm-char-cnn-tensorflow,735.0,255.0,60.0,none,none
yell/boltzmann-machines,735.0,117.0,36.0,ntensorflow-gpu~=1.3.0,none
tensorlayer/seq2seq-chatbot,735.0,287.0,36.0,ntensorflow,none
isseu/emotion-recognition-neural-networks,736.0,312.0,48.0,ntensorflow==1.7.0,none
DeepWisdom/AutoDL,730.0,141.0,0.0,b'tensorflow-gpu>=1.13.1,ntorchvision==0.4.2
sthalles/deeplab_v3,728.0,278.0,36.0,none,none
mtobeiyf/keras-flask-deploy-webapp,725.0,324.0,24.0,ntensorflow',none
MathiasGruber/PConv-Keras,722.0,189.0,24.0,ntensorflow==1.12.0,none
off99555/machine-learning-curriculum,720.0,212.0,48.0,none,none
kratzert/finetune_alexnet_with_tensorflow,719.0,408.0,36.0,none,none
Coder-Yu/RecQ,714.0,253.0,48.0,none,none
geffy/tffm,713.0,177.0,48.0,none,none
BIGBALLON/cifar-10-cnn,710.0,268.0,36.0,none,none
ilivans/tf-rnn-attention,701.0,287.0,36.0,none,none
opencv/openvino_training_extensions,695.0,269.0,24.0,none,none
asingh33/CNNGestureRecognizer,693.0,295.0,36.0,ntensorflow-estimator==1.13.0,none
emilwallner/Coloring-greyscale-images,693.0,165.0,36.0,none,none
